"",""
"","Retail Price Information"
"","","DATE","6/6/2026"
"","","TIME","5:24:21"
""," S.No"," Medicines"," Formulations"," Manufacturer Name"," Marketing  Company"," Units"," Retail Prices (Rs.)(Exclusive Local Taxes/GST)"," SO NO"," SO Date"
"","2647","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg
Glimepiride IP 1 mg","M/s Synokem Pharmaceuticals Ltd.","M/s Mankind Pharma Limited","1 Tablet","13.35","423(E)","02-Feb-24"
"","2648","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg
Glimepiride IP 1 mg","M/s Exemed Pharmaceuticals","M/s Glenmark Pharmaceuticals Limited","1 Tablet","13.35","423(E)","02-Feb-24"
"","2649","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 1 mg","M/s Exemed Pharmaceuticals","M/s Emcure Pharmaceuticals Limited","1 Tablet","13.35","423(E)","02-Feb-24"
"","2650","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 1 mg","M/s Exemed Pharmaceuticals","M/s Torrent Pharmaceuticals Limited","1 Tablet","13.35","423(E)","02-Feb-24"
"","2651","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 1 mg","M/s Exemed Pharmaceuticals","M/s Eris Lifesciences Limited","1 Tablet","13.35","423(E)","02-Feb-24"
"","2652","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 1 mg","M/s Synokem Pharmaceuticals Ltd.","M/s Torrent Pharmaceuticals Limited","1 Tablet","13.35","423(E)","02-Feb-24"
"","2653","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 1 mg","M/s Exemed Pharmaceuticals","M/s Dr. Reddy’s Laboratories Limited","1 Tablet","13.35","423(E)","02-Feb-24"
"","2654","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 2 mg","M/s Exemed Pharmaceuticals","M/s Micro Labs Limited","1 Tablet","13.39","423(E)","02-Feb-24"
"","2655","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 2 mg","M/s Exemed Pharmaceuticals","M/s Abbott Healthcare Pvt. Ltd.","1 Tablet","15.03","423(E)","02-Feb-24"
"","2656","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 2 mg","M/s Exemed Pharmaceuticals","M/s Glenmark Pharmaceuticals Limited","1 Tablet","15.03","423(E)","02-Feb-24"
"","2657","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 2 mg","M/s Synokem Pharmaceuticals Ltd.","M/s Mankind Pharma Limited","1 Tablet","15.03","423(E)","02-Feb-24"
"","2658","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 2 mg","M/s Mascot Health Series Pvt. Ltd.","M/s Lupin Limited","1 Tablet","15.03","423(E)","02-Feb-24"
"","2659","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 2 mg","M/s Exemed Pharmaceuticals","M/s Emcure Pharmaceuticals Limited","1 Tablet","15.03","423(E)","02-Feb-24"
"","2660","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 2 mg","M/s Exemed Pharmaceuticals","M/s Torrent Pharmaceuticals Limited","1 Tablet","14.3","423(E)","02-Feb-24"
"","2661","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 2 mg","M/s Synokem Pharmaceuticals Ltd.","M/s Torrent Pharmaceuticals Limited","1 Tablet","14.3","423(E)","02-Feb-24"
"","2662","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 2 mg","M/s Exemed Pharmaceuticals","M/s Dr. Reddy’s Laboratories Limited","1 Tablet","15.03","423(E)","02-Feb-24"
"","2663","Sitagliptin Phosphate, Metformin Hydrochloride and Glimepiride Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg (Immediate Release)
Glimepiride IP 2 mg","M/s Exemed Pharmaceuticals","M/s Eris Lifesciences Limited","1 Tablet","15.03","423(E)","02-Feb-24"
"","2664","Dapagliflozin, Metformin Hydrochloride Extended Releaseand Glimepiride Tablets","Each film coated tablet contains:
Dapagliflozin Propanediol Monohydrate eq. to Dapagliflozin 10mg
Metformin Hydrochloride IP 500mg (As extended release)
Glimepiride IP 2 mg","M/s Sun Pharma Laboratories Limited","M/s Sun Pharma Laboratories Limited","1 Tablet","15.15","423(E)","02-Feb-24"
"","2665","Dapagliflozin, Metformin Hydrochloride Extended Releaseand Glimepiride Tablets","Each film coated tablet contains:
Dapagliflozin Propanediol Monohydrate eq. to Dapagliflozin 10mg
Metformin Hydrochloride IP 500mg (As extended release)
Glimepiride IP 1 mg","M/s Sun Pharma Laboratories Limited","M/s Sun Pharma Laboratories Limited","1 Tablet","13.47","423(E)","02-Feb-24"
"","2666","Dapagliflozin, Metformin Hydrochloride Extended Releaseand Glimepiride Tablets","Each film coated tablet contains:
Dapagliflozin Propanediol Monohydrate eq. to Dapagliflozin 10mg
Metformin Hydrochloride IP 1000mg (As extended release)
Glimepiride IP 2 mg","M/s Sun Pharma Laboratories Limited","M/s Sun Pharma Laboratories Limited","Tablet","16.00","423(E)","02-Feb-24"
"","2667","Dapagliflozin, Metformin Hydrochloride Extended Releaseand Glimepiride Tablets","Each film coated tablet contains:
Dapagliflozin Propanediol Monohydrate eq. to Dapagliflozin 10mg
Metformin Hydrochloride IP 1000mg (As extended release)
Glimepiride IP 1 mg","M/s Sun Pharma Laboratories Limited","M/s Sun Pharma Laboratories Limited","Tablet","14.50","423(E)","02-Feb-24"
"","2668","Linagliptin + Metformin Hydrochloride (ER) Tablet","Each film coated tablet contains:             
Linagliptin 5mg 
Metformin Hydrochloride (as Extended release) IP 1000mg","M/s Exemed Pharmaceuticals Ltd.","M/s USV Limited","Tablet","14.37","423(E)","02-Feb-24"
"","2669","Linagliptin + Metformin Hydrochloride (ER) Tablet","Each film coated bilayered tablet contains:             
Linagliptin 5mg 
Metformin Hydrochloride (as Extended release) IP 1000mg","M/s Synokem Pharmaceuticals Ltd.","M/s Emcure Pharmaceuticals Limited","Tablet","14.72","423(E)","02-Feb-24"
"","2670","Linagliptin + Metformin Hydrochloride (ER) Tablet","Each film coated tablet contains:             
Linagliptin 5mg 
Metformin Hydrochloride (as Extended release) IP 1000mg","M/s Exemed Pharmaceuticals Ltd.","M/s Abbott Healthcare Pvt. Ltd.","Tablet","11.61","423(E)","02-Feb-24"
"","2671","Sitagliptin and Metformin Hydrochloride Extended Releaseand  Tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate eq. to Sitagliptin 100mg
Metformin Hydrochloride IP 1000mg (As extended release)","M/s Synokem Pharmaceuticals Pvt. Ltd.","M/s Mankind Pharma Ltd.","1 Tablet","13.25","937(E)","28-Feb-24"
"","2672","Olmesartan Medoxomil,  Amlodipine & HydrochlorothiazideTablet","Each film coated tablet contains:
Olmesartan Medoxomil IP 20mg
Amlodipine Besilate IP eq. to Amlodipine 5mg
Hydrochlorothiazide IP 12.5mg","M/s Pure and Cure Healthcare Pvt. Ltd.","M/s Blue Cross Laboratories Private Limited","1 Tablet","8.92","937(E)","28-Feb-24"
"","2673","Olmesartan Medoxomil,  Amlodipine & HydrochlorothiazideTablet","Each film coated tablet contains:
Olmesartan Medoxomil IP 40mg
Amlodipine Besilate IP eq. to Amlodipine 5mg
Hydrochlorothiazide IP 12.5mg","M/s Pure and Cure Healthcare Pvt. Ltd.","M/s Blue Cross Laboratories Private Limited","1 Tablet","10.71","937(E)","28-Feb-24"
"","2674","Telmisartan,  Amlodipine & Hydrochlorothiazide Tablet","Each film coated tablet contains:
Telmisartan IP 80mg
Amlodipine Besilate IP eq. to Amlodipine 5mg
Hydrochlorothiazide IP 12.5mg","M/s Pure and Cure Healthcare Pvt. Ltd.","M/s Mankind Pharma Ltd.","1 Tablet","16.24","937(E)","28-Feb-24"
"","2675","Paracetamol, Phenylephrine HCl & Chlorpheniramine Meleate Syrup","Each 5ml contains:
Paracetamol IP 125mg
Phenylephrine Maleate IP 5.0mg
Chlorpheniramine Maleate IP 1.0mg","M/s Mascot Health Series Pvt. Ltd.","M/s Biological E. Limited","1 ml","1.06","937(E)","28-Feb-24"
"","2676","Phenylephrine Hydrochloride and
Chlorpheniramine Maleate Syrup","Each 5ml contains:
Phenylephrine Hydrochloride IP 5.0mg
Chlorpheniramine Maleate IP 2.0mg","M/s Windlas Biotech Limited","M/s Biological E. Limited","1 ml","1.22","937(E)","28-Feb-24"
"","2677","Chlorpheniramine Maleate, Dextromethorphan Hydrochloride & Phenylephrine Hydrochloride Syrup","Each 5ml contains:
Chlorpheniramine Maleate IP 2mg
Phenylephrine Hydrochloride IP 5mg
Dextromethorphan Hydrochloride IP 15mg","M/s Yacca Lifesciences Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 ml","0.94","937(E)","28-Feb-24"
"","2678","Escitalopram Oxalate Tablets","Each film coated tablet contains:
Escitalopram Oxalate IP eq. to Escitalopram 15mg","M/s Lupin Limited","M/s Lupin Limited","1 Tablet","11.84","937(E)","28-Feb-24"
"","2679","Amoxycillin and Potassium Clavulanate Oral Suspension","Each 5ml of reconstituted suspension contains:
Amoxycillin Trihydrate IP eq. to Amoxycillin 400mg
Potassium Clavulanate Diluted IP eq. to Clavulanic Acid 57mg","M/s Brooks Laboratories Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 ml","4.22","937(E)","28-Feb-24"
"","2680","Cefixime and Ofloxacin Tablets","Each film coated tablet contains:
Cefixime eq. to Cefixime Anhydrous IP 200mg
Ofloxacin IP 200mg","M/s Aagya Biotech Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","13.87","937(E)","28-Feb-24"
"","2681","Paracetamol Paediatric Oral Suspension","Each ml contains:
Paracetamol IP 100mg","M/s Aristo Pharmaceuticals Pvt. Ltd.","M/s Aristo Pharmaceuticals Pvt. Ltd.","1 ml","1.62","937(E)","28-Feb-24"
"","2682","Chlorpheniramine Maleate, Dextromethorphan Hydrochloride & Phenylephrine Hydrochloride Syrup","Each 5ml contains:
Chlorpheniramine Maleate IP 2mg
Phenylephrine Hydrochloride IP 5mg
Dextromethorphan Hydrochloride IP 10mg","M/s Yacca Lifesciences Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 ml","0.99","937(E)","28-Feb-24"
"","2683","Clopidogrel & Aspirin Tablets","Each uncoated bilayered tablet contains:
Clopidogrel Bisulphate IP eq. to Clopidogrel 75mg
Aspirin IP 150mg","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","4.85","937(E)","28-Feb-24"
"","2684","Meropenem and Sulbactum for Injection","Each vial contains:
Meropenem  IP  eq. to Anhydrous Meropenem 1000mg (A Sterile Mixture of meropenem & Sodium Carbonate (Sodium 90.2mg)
Sulbactam Sodium IP eq. to Anhydrous Sulbactum 500mg","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Vial","1598.75","937(E)","28-Feb-24"
"","2685","Olmesartan Medoxomil, Hydrochlorothiazide & Amlodipin Tablet","Each film coated tablet contains:
Olmesartan Medoxomil IP 20mg
Hydrochlorothiazide IP 12.5mg
Amlodipin Besylate IP eq. to Amlodipine 5mg","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","14.52","937(E)","28-Feb-24"
"","2686","Cefpodoxime & Potassium Clavulanate Oral suspension","Each 5ml reconstituted suspension contains:
Cefpodoxime Proxetil IP eq. to Anhydrous Cefpodoxime 50mg
Potassium Clavulanate Diluted IP eq. to Clavulanic Acid 31.25mg","M/s Saitech Medicare Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 ml","3.10","937(E)","28-Feb-24"
"","2687","Mefenamic acid & Paracetamol oral suspension","Each 5 ml contains:
Mefenamic acid IP 50 mg
Paracetamol IP 125 mg","M/s East African (I) Overseas /","M/s SRK Puremed LLP","1 ml","0.77","5975 (E)","2025-12-24"
"","2688","Cefuroxime & Potassium Clavulanate Tablets","Each film coated tablet contains:
Cefuroxime Axetil IP eq. to Cefuroxime 500mg
Potassium Clavulanate Diluted IP eq. to Clavulanic Acid 125mg","M/s Saitech Medicare Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","56.98","937(E)","28-Feb-24"
"","2689","Telmisartan & Chlorthalidone Tablet","Each film coated tablet contains:
Telmisartan IP 80mg
Chlorthalidone 6.25mg","M/s Aristo Pharmaceuticals Pvt. Ltd.","M/s Aristo Pharmaceuticals Pvt. Ltd.","1 Tablet","17.74","937(E)","28-Feb-24"
"","2690","Trypsin, Bromelain, Rutoside Trihydrate and Diclofenac Sodium Tablets","Each enteric coated tablet contains:
Trypsin BP 48mg
Bromelain 90mg
Rutoside Trihydrate BP 100mg
Diclofenac Sodium IP 50mg","M/s Synokem Pharmaceutical Ltd.","M/s Intas Pharmaceuticals Ltd.","1 Tablet","21.80","937(E)","28-Feb-24"
"","2691","Montelukast and Acebrophylline (SR) Tablets","Each uncoated bilayered tablet contains:
Montelukast Sodium IP eq. to Montelukast 10mg
Acebrophylline 200mg (As sustained release)","M/s Pure and Cure Healthcare Pvt. Ltd.","M/s Apex Laboratories Private Limited","1 Tablet","17.54","937(E)","28-Feb-24"
"","2692","Atorvastatin and Fenofibrate Tablets","Each film coated tablet contains:
Atorvastatin Calcium IP eq. to Atorvastatin 10mg
Fenofibrate IP 160mg","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","15.93","937(E)","28-Feb-24"
"","2693","Calcium & Vitamins Tablet","Each film coated tablet contains:
Calcium Carbonate IP (From Coral Grains) eq. to Elemental Calcium 500mg
Vitamin D3 IP (As Stabilised) 2000 IU
Methylcobalamin IP 1500mcg
L-Methylfolate Calcium USP 1mg
Pyridoxal 5 Phosphate 20mg","M/s Premier Nutraceuticals Pvt. Ltd.","M/s Zuventus Healthcare Limited","1 Tablet","18.87","937(E)","28-Feb-24"
"","2694","Cefpodoxime & Potassium Clavulanate Tablets","Each film coated tablet contains:
Cefpodoxime Proxetil IP eq. to Anhydrous Cefpodoxime 200mg
Potassium Clavulanate Diluted IP eq. to Clavulanic Acid 125mg","M/s Saitech Medicare Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","28.49","937(E)","28-Feb-24"
"","2695","Levetiracetam  Extended-release Tablets","Each film coated Extended-release tablet contains:
Levetiracetam IP 1000mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Cipla Ltd.","1 Tablet","33.37","937(E)","28-Feb-24"
"","2696","Aceclofenac and Paracetamol tablets","Each film coated tablet contains:
Aceclofenac IP 100mg
Paracetamol IP 325mg","M/s Stedman Pharmaceuticals Pvt. Ltd.","M/s Stedman Pharmaceuticals Pvt. Ltd.","1 Tablet","5.14","937(E)","28-Feb-24"
"","2697","Linagliptin and Metformin Hydrochloride Tablet","Each film coated tablet contains:             
Linagliptin 2.5mg 
Metformin Hydrochloride IP 500mg","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","8.56","937(E)","28-Feb-24"
"","2698","Paracetamol, Phenylephrine HCl & Chlorpheniramine Maleate Tablets","Each uncoated tablet contains:
Paracetamol IP 500mg
Phenylephrine HCl IP 10mg
Chlorpheniramine Maleate IP 2mg","M/s Akums Drugs and Pharmaceuticals Ltd.","M/s Blue Cross Laboratories Private Limited","1 Tablet","3.57","937(E)","28-Feb-24"
"","2699","Moxifloxacin hydrochloride &
Dexamethasone Phosphate Eye Drops","Composition:
Moxifloxacin hydrochloride IP eq. to Moxofloxacin 0.5%w/v
Dexamethasone Sodium Phosphate IP eq. to Dexamethasone Phosphate 0.1% w/v","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 ml","23.27","937(E)","28-Feb-24"
"","2700","TRYPSIN-CHYMOTRYPSIN WITH PARACETAMOL AND ACECLOFENAC TABLETS","EACH FILM COATED TABLET CONTAINS:
150000 ARMOUR UNITS ENZYMATIC ACTIVITY (SUPPLIED BY A PURIFIED CONCENTRATE WHICH HAS SPECIFIC TRYPSIN & CHYMOTRYPSIN ACTIVITY IN A RATIO OF APPROXIMATELY SIX TO ONE) (AS ENTERIC COATED GRANULES)
PARACETAMOL IP…………………………….","M/s Synokem Pharmaceuticals Ltd.","M/s Troikaa Pharmaceuticals Limited","1 Tablet","14.21","937(E)","28-Feb-24"
"","2701","Chlorpheniramine Maleate & Phenylephrine Hydrochloride Syrup","Each 5ml contains:
Chlorpheniramine Maleate IP 2mg
Phenylephrine Hydrochloride IP 5mg","M/s Akums Drugs & Pharmaceuticals Ltd..","M/s Apex Laboratories Private Limited","1 ml","1.22","937(E)","28-Feb-24"
"","2702","Vildagliptin and Metformin Hydrochloride Tablet","Each film coated tablet contains:             
Vildagliptin IP 50mg 
Metformin Hydrochloride IP 1000mg","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","8.43","937(E)","28-Feb-24"
"","2703","Vildagliptin and Metformin Hydrochloride Tablet","Each film coated tablet contains:             
Vildagliptin IP 50mg 
Metformin Hydrochloride IP 500mg","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","8.04","937(E)","28-Feb-24"
"","2704","Sitagliptin Phosphate and Metformin Hydrochloride tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 500mg","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","9.13","937(E)","28-Feb-24"
"","2705","Sitagliptin Phosphate and Metformin Hydrochloride tablets","Each film coated tablet contains:
Sitagliptin Phosphate Monohydrate IP eq. to Sitagliptin 50mg
Metformin Hydrochloride IP 1000mg","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","10.39","937(E)","28-Feb-24"
"","2706","Mecobalamin, Alpha Lipoic Acid, Vitamin D3, Pyridoxine Hydrochloride & Folic Acid Tablets","Each film coated tablet contains:
Mecobalamin IP 1500mcg
Alpha Lipoic Acid IP 100mg
Vitamin D3 IP 1000IU
Pyridoxine Hydrochloride IP 3mg
Folic Acid IP 1.5mg","M/s Pure and Cure Healthcare Pvt. Ltd.","M/s Blue Cross Laboratories Private Limited","1 Tablet","8.03","937(E)","28-Feb-24"
"","2707","Tranexamic Tablets","Each uncoated tablet contains:
Tranexamic Acid IP 1000mg","M/s Emcure Pharmaceuticals Limited","M/s Emcure Pharmaceuticals Limited","1 Tablet","30.06","937(E)","28-Feb-24"
"","2708","Ceftriaxone and  Tazobactam injection","Each Combipack Contains:
Part-I Each vial contains :
Ceftriaxone Sodium IP (Sterile) eq. to anhydrous Ceftriaxone 1gm,
Tazobactam Sodium IP (Sterile) eq. to Tazobactam 125mg
Part-II (For Reconstitution)
Each FFS Ampoule contains:
Sterile Water for Injecti","M/s East African (India) Overseas / M/s Softdeal Pharmaceuticals Private Limited","","1 Vial","189.45","937(E)","28-Feb-24"
"","2709","Telmisartan & Cilnidipine Tablet","Each film coated bilayered tablet contains:
Telmisartan IP 40mg
Cilnidipine IP 10mg","M/s Windlas Biotech Ltd. (Plant 2)","M/s Emcure Pharmaceuticals Limited","1 Tablet","10.39","937(E)","28-Feb-24"
"","2710","Diclofenac Sodium & Paracetamol Tablets","Each uncoated tablet contains:
Diclofenac Sodium IP 50mg,
Paracetamol IP 325mg","M/s Pure and Cure Healthcare Pvt. Ltd.","M/s Softdeal Pharmaceuticals Private Limited","1 Tablet","4.99","937(E)","28-Feb-24"
"","2711","Vitamin D3 (Cholecalciferol) Oral Drops","Each ml contains:
Vitamin D3 (Cholecalciferol) 800IU","M/s SAF Fermion Limited","M/s SAF Fermion Limited","1 ml","5.53","937(E)","28-Feb-24"
"","2712","Telmisartan & Chlorthalidone Tablet","Each film coated tablet contains:
Telmisartan IP 40mg
Chlorthalidone 6.25mg","M/s Akums Drugs and Pharmaceuticals Ltd.","M/s Blue Cross Laboratories Pvt. Ltd.","1 Tablet","5.35","937(E)","28-Feb-24"
"","2713","Telmisartan & Chlorthalidone Tablet","Each film coated tablet contains:
Telmisartan IP 40mg
Chlorthalidone 12.50mg","M/s Akums Drugs and Pharmaceuticals Ltd.","M/s Blue Cross Laboratories Pvt. Ltd.","1 Tablet","6.25","937(E)","28-Feb-24"
"","2714","Itraconazole Capsules 130mg (Supra- Bioavailable Formulation)","Each hard gelatin capsule contains:
Itraconazole BP 130mg","M/s Synokem Pharmaceuticals Ltd.","M/s Aristo Pharmaceuticals Pvt. Ltd.","1 Capsule","19.50","937(E)","28-Feb-24"
"","2715","Linagliptin, Metformin Hydrochloride (Extended Release) Tablets","Each film coated bilayered tablet contains:
Linagliptin 5mg
Metformin Hydrochloride IP 500mg (As Extended Release)","M/s Mascot Health Series Pvt. Ltd.","M/s Torrent Pharmaceuticals Ltd.","1 Tablet","13.03","937(E)","28-Feb-24"
"","2716","Linagliptin, Metformin Hydrochloride (Extended Release) Tablets","Each film coated bilayered tablet contains:
Linagliptin 5mg
Metformin Hydrochloride IP 1000mg (As Extended Release)","M/s Synokem Pharmaceuticals Limited","M/s Mankind Pharma Limited","1 Tablet","14.65","937(E)","28-Feb-24"
"","2717","Trypsin, Bromelain, Rutoside Trihydrate and Diclofenac Sodium Tablets","Each enteric coated tablet contains:
Trypsin BP 48mg
Bromelain 90mg
Rutoside Trihydrate BP 100mg
Diclofenac Sodium IP 50mg","M/s Synokem Pharmaceuticals Limited","M/s Neon Laboratories Limited","1 Tablet","21.80","937(E)","28-Feb-24"
"","2718","Diclofenac Diethylamine, Methyl Salicylate & Menthol Topical Spray","Composition:
Diclofenac Diethylamine IP 2.32% w/w (eq. to Diclofenac Sodium 2% w/w),
Methyl Salicylate 10% w/w,
Menthol 5% w/w","M/s Pontika Aerotech Limited","M/s Cadila Pharmaceuticals Ltd.","1 gram","3.12","937(E)","28-Feb-24"
"","2719","Tranexamic Acid  Tablet","Each film coated tablet contains:
Tranexamic Acid IP 250mg","M/s Pure and Cure Healthcare Pvt. Ltd.","M/s Sun Pharmaceutical Industries Limited","1 Tablet","18.43","937(E)","28-Feb-24"
"","2720","Dapagliflozin, Metformin Hydrochloride (Extended Release) and Glimepiride Tablets","Each film coated bilayered tablet contains:
Dapagliflozin Propanediol USP eq. to Dapagliflozin 10mg
Metformin Hydrochloride IP 1000mg (As Extended release)
Glimepiride IP 1 mg","M/s Mascot Health Series Pvt. Ltd.","M/s Eris Lifesciences Limited","1 Tablet","14.65","937(E)","28-Feb-24"
"","2721","Dapagliflozin, Metformin Hydrochloride (Extended Release) and Glimepiride Tablets","Each film coated bilayered tablet contains:
Dapagliflozin Propanediol USP eq. to Dapagliflozin 10mg
Metformin Hydrochloride IP 1000mg (As Extended release)
Glimepiride IP 1 mg","M/s Mascot Health Series Pvt. Ltd.","M/s Mankind Pharma Ltd.","1 Tablet","14.44","937(E)","28-Feb-24"
"","2722","Dapagliflozin, Metformin Hydrochloride (Extended Release) and Glimepiride Tablets","Each film coated bilayered tablet contains:
Dapagliflozin Propanediol USP eq. to Dapagliflozin 10mg
Metformin Hydrochloride IP 1000mg (As Extended release)
Glimepiride IP 1 mg","M/s Mascot Health Series Pvt. Ltd.","M/s Alkem Laboratories Limited","1 Tablet","14.65","937(E)","28-Feb-24"
"","2723","Dapagliflozin, Metformin Hydrochloride (Extended Release) and Glimepiride Tablets","Each film coated bilayered tablet contains:
Dapagliflozin Propanediol USP eq. to Dapagliflozin 10mg
Metformin Hydrochloride IP 1000mg (As Extended release)
Glimepiride IP 1 mg","M/s Mascot Health Series Pvt. Ltd.","M/s Torrent Pharmaceuticals Ltd.","1 Tablet","14.65","937(E)","28-Feb-24"
"","2724","Dapagliflozin, Metformin Hydrochloride (Extended Release) and Glimepiride Tablets","Each film coated bilayered tablet contains:
Dapagliflozin Propanediol USP eq. to Dapagliflozin 10mg
Metformin Hydrochloride IP 1000mg (As Extended release)
Glimepiride IP 1 mg","M/s Mascot Health Series Pvt. Ltd.","M/s Lupin Limited","1 Tablet","14.44","937(E)","28-Feb-24"
"","2725","Dapagliflozin, Metformin Hydrochloride (Extended Release) and Glimepiride Tablets","Each film coated bilayered tablet contains:
Dapagliflozin Propanediol USP eq. to Dapagliflozin 10mg
Metformin Hydrochloride IP 1000mg (As Extended release)
Glimepiride IP 1 mg","M/s Mascot Health Series Pvt. Ltd.","M/s Medley Pharmaceuticals Ltd.","1 Tablet","14.44","937(E)","28-Feb-24"
